length,width,height
25,4,8
25,7,5
26,6,3
26,6,6
26,7,7
26,7,4
26,7,5
26,6,6
26,6,4
26,7,4
26,6,6
26,7,6
26,7,3
26,8,6
26,7,4
26,6,5
26,6,6
26,7,5
26,7,5
26,7,5
26,7,4
26,7,2
26,7,5
26,8,6
27,6,5
27,8,4
27,7,5
27,8,4
27,7,5
27,7,5
27,8,6
27,7,3
27,7,5
27,8,3
27,8,5
27,7,5
27,7,5
27,7,5
27,7,7
27,7,7
27,8,5
27,8,4
27,8,4
27,7,6
27,7,7
27,6,5
27,8,4
28,6,6
28,8,6
28,7,5
28,8,4
28,8,5
28,7,5
28,8,4
28,7,5
28,7,5
29,8,5
29,8,3
30,7,6
32,6,3
